protein,rank,GO,score
1_RIXI,1,GO:0003674,0.9999998410542806
1_RIXI,2,GO:0005488,0.7035204569498698
1_RIXI,3,GO:0003676,0.1730332374572754
1_RIXI,4,GO:0097159,0.16562209526697794
1_RIXI,5,GO:0005515,0.15690592924753824
1_RIXI,6,GO:1901363,0.15021303296089172
1_RIXI,7,GO:0003677,0.13050644596417746
1_RIXI,8,GO:0003824,0.11925936738650005
1_RIXI,9,GO:0008289,0.05666433274745941
1_RIXI,10,GO:0030234,0.053669899702072144
2_PGIP2_8IKW,1,GO:0003674,1.0
2_PGIP2_8IKW,2,GO:0005488,0.7444702784220377
2_PGIP2_8IKW,3,GO:0003676,0.17263853549957275
2_PGIP2_8IKW,4,GO:0097159,0.15834359327952066
2_PGIP2_8IKW,5,GO:0005515,0.1460079848766327
2_PGIP2_8IKW,6,GO:1901363,0.14412582914034525
2_PGIP2_8IKW,7,GO:0003677,0.1309411327044169
2_PGIP2_8IKW,8,GO:0003824,0.1011059582233429
2_PGIP2_8IKW,9,GO:0008289,0.05516401926676432
2_PGIP2_8IKW,10,GO:0030234,0.04116609940926234
3_OATP1B1_8HND,1,GO:0003674,1.0
3_OATP1B1_8HND,2,GO:0005488,0.955472469329834
3_OATP1B1_8HND,3,GO:0003676,0.15347673495610556
3_OATP1B1_8HND,4,GO:0003677,0.12382643421490987
3_OATP1B1_8HND,5,GO:1901363,0.11396073301633199
3_OATP1B1_8HND,6,GO:0097159,0.10763972997665405
3_OATP1B1_8HND,7,GO:0005515,0.09033629298210144
3_OATP1B1_8HND,8,GO:0008289,0.0407441183924675
3_OATP1B1_8HND,9,GO:0003824,0.01900654286146164
3_OATP1B1_8HND,10,GO:0030234,0.0025811513575414815
4_FLS2_4MN8,1,GO:0003674,1.0
4_FLS2_4MN8,2,GO:0005488,0.9686805407206217
4_FLS2_4MN8,3,GO:0003676,0.15065617362658182
4_FLS2_4MN8,4,GO:0003677,0.12404735883076985
4_FLS2_4MN8,5,GO:1901363,0.11057393749554952
4_FLS2_4MN8,6,GO:0097159,0.10189616680145264
4_FLS2_4MN8,7,GO:0005515,0.08575606346130371
4_FLS2_4MN8,8,GO:0008289,0.03857072442770004
4_FLS2_4MN8,9,GO:0003824,0.01401615266998609
4_FLS2_4MN8,10,GO:0030234,0.0015446683391928673
5_scFv_P_3H3B,1,GO:0003674,0.9999995231628418
5_scFv_P_3H3B,2,GO:0005488,0.6850983301798502
5_scFv_P_3H3B,3,GO:0003676,0.17303888003031412
5_scFv_P_3H3B,4,GO:0097159,0.1690127452214559
5_scFv_P_3H3B,5,GO:0005515,0.16162846485773721
5_scFv_P_3H3B,6,GO:1901363,0.15315933028856912
5_scFv_P_3H3B,7,GO:0003677,0.1303468942642212
5_scFv_P_3H3B,8,GO:0003824,0.12791510423024496
5_scFv_P_3H3B,9,GO:0030234,0.05972216029961904
5_scFv_P_3H3B,10,GO:0008289,0.05700774987538656
6_scFv_L_8IQS,1,GO:0003674,0.9999996026357015
6_scFv_L_8IQS,2,GO:0005488,0.6886076132456461
6_scFv_L_8IQS,3,GO:0003676,0.17298529545466104
6_scFv_L_8IQS,4,GO:0097159,0.1682943900426229
6_scFv_L_8IQS,5,GO:0005515,0.16075619061787924
6_scFv_L_8IQS,6,GO:1901363,0.15254656473795572
6_scFv_L_8IQS,7,GO:0003677,0.1303922732671102
6_scFv_L_8IQS,8,GO:0003824,0.1262464721997579
6_scFv_L_8IQS,9,GO:0030234,0.05856389800707499
6_scFv_L_8IQS,10,GO:0008289,0.05696038405100504
7_scFab_P_8JYR,1,GO:0003674,1.0
7_scFab_P_8JYR,2,GO:0005488,0.8864725430806478
7_scFab_P_8JYR,3,GO:0003676,0.16280082861582437
7_scFab_P_8JYR,4,GO:0097159,0.12928370634714761
7_scFab_P_8JYR,5,GO:1901363,0.12606899936993918
7_scFab_P_8JYR,6,GO:0003677,0.125494251648585
7_scFab_P_8JYR,7,GO:0005515,0.10890299081802368
7_scFab_P_8JYR,8,GO:0008289,0.04758592446645101
7_scFab_P_8JYR,9,GO:0003824,0.04481967290242513
7_scFab_P_8JYR,10,GO:0030234,0.010768011212348938
8_scFab_L_3KDM,1,GO:0003674,1.0
8_scFab_L_3KDM,2,GO:0005488,0.8880066871643066
8_scFab_L_3KDM,3,GO:0003676,0.16263913114865622
8_scFab_L_3KDM,4,GO:0097159,0.1288763185342153
8_scFab_L_3KDM,5,GO:1901363,0.12584468722343445
8_scFab_L_3KDM,6,GO:0003677,0.12542492151260376
8_scFab_L_3KDM,7,GO:0005515,0.10850976904233296
8_scFab_L_3KDM,8,GO:0008289,0.04747772216796875
8_scFab_L_3KDM,9,GO:0003824,0.04423341155052185
8_scFab_L_3KDM,10,GO:0030234,0.010535394152005514
