From	Entry	Reviewed	Entry Name	Protein names
OTU4_ARATH	Q8LBZ4	reviewed	OTU4_ARATH	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 4 (OTU domain-containing protein 4) (EC 3.4.19.12) (Deubiquitinating enzyme OTU4)
CIB2_DROME	Q9W2Q5	reviewed	CIB2_DROME	Calcium and integrin-binding family member 2
DEKP3_ARATH	Q9SUA1	reviewed	DEKP3_ARATH	DEK domain-containing chromatin-associated protein 3 (At-DEK3) (AtDEK-3) (Protein DEK 3)
RTEL1_MOUSE	Q0VGM9	reviewed	RTEL1_MOUSE	Regulator of telomere elongation helicase 1 (EC 5.6.2.-)
ARM10_HUMAN	Q8N2F6	reviewed	ARM10_HUMAN	Armadillo repeat-containing protein 10 (Splicing variant involved in hepatocarcinogenesis protein)
SELT_HUMAN	P62341	reviewed	SELT_HUMAN	Thioredoxin reductase-like selenoprotein T (SelT) (EC 1.8.1.9)
CLIC_DROME	Q9VY78	reviewed	CLIC_DROME	Chloride intracellular channel Clic
ETV1_HUMAN	P50549	reviewed	ETV1_HUMAN	ETS translocation variant 1 (Ets-related protein 81)
APOC2_RAT	G3V8D4	reviewed	APOC2_RAT	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]
ATRN_HUMAN	O75882	reviewed	ATRN_HUMAN	Attractin (DPPT-L) (Mahogany homolog)
TNC18_HUMAN	O15417	reviewed	TNC18_HUMAN	Trinucleotide repeat-containing gene 18 protein (Long CAG trinucleotide repeat-containing gene 79 protein)
KLHL5_HUMAN	Q96PQ7	reviewed	KLHL5_HUMAN	Kelch-like protein 5
TEN1_MOUSE	Q9WTS4	reviewed	TEN1_MOUSE	Teneurin-1 (Ten-1) (Protein Odd Oz/ten-m homolog 1) (Tenascin-M1) (Ten-m1) (Teneurin transmembrane protein 1) [Cleaved into: Ten-1 intracellular domain (IDten-1) (Ten-1 ICD); Teneurin C-terminal-associated peptide (TCPA-1) (Ten-1 extracellular domain) (Ten-1 ECD)]
CREBB_DROME	Q9VWW0	reviewed	CREBB_DROME	Cyclic AMP response element-binding protein B (cAMP response element-binding protein B) (dCREB-B)
NDRG3_HUMAN	Q9UGV2	reviewed	NDRG3_HUMAN	Protein NDRG3 (N-myc downstream-regulated gene 3 protein)
NCOA7_HUMAN	Q8NI08	reviewed	NCOA7_HUMAN	Nuclear receptor coactivator 7 (140 kDa estrogen receptor-associated protein) (Estrogen nuclear receptor coactivator 1)
WDR44_HUMAN	Q5JSH3	reviewed	WDR44_HUMAN	WD repeat-containing protein 44 (Rab11-binding protein) (Rab11BP) (Rabphilin-11)
ZAN_MOUSE	O88799	reviewed	ZAN_MOUSE	Zonadhesin
PDUH_SALTY	Q8ZNR6	reviewed	PDUH_SALTY	Propanediol dehydratase-reactivating factor small subunit (DDR small subunit) (Propanediol utilization protein PduH)
TRXR3_HUMAN	Q86VQ6	reviewed	TRXR3_HUMAN	Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase 3 intronic transcript 1) (Thioredoxin reductase 3 neighbor gene) (Thioredoxin reductase TR2)
HAS3P_HUMAN	C0HLZ6	reviewed	HAS3P_HUMAN	HOXB-AS3 peptide
OCRL_HUMAN	Q01968	reviewed	OCRL_HUMAN	Inositol polyphosphate 5-phosphatase OCRL (EC 3.1.3.36) (EC 3.1.3.56) (Inositol polyphosphate 5-phosphatase OCRL-1) (OCRL-1) (Lowe oculocerebrorenal syndrome protein) (Phosphatidylinositol 3,4,5-triphosphate 5-phosphatase) (EC 3.1.3.86)
CNTRL_HUMAN	Q7Z7A1	reviewed	CNTRL_HUMAN	Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110)
K2C8_HUMAN	P05787	reviewed	K2C8_HUMAN	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)
INDH_ARATH	O49472	reviewed	INDH_ARATH	Iron-sulfur protein required for NADH dehydrogenase, mitochondrial (IND1 homolog) (IND1-like protein) (Nucleotide-binding protein-like)
CENPE_HUMAN	Q02224	reviewed	CENPE_HUMAN	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)
HMHA1_HUMAN	Q92619	reviewed	HMHA1_HUMAN	Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1 (mHag HA-1)]
BRDH_DROME	Q7JVP4	reviewed	BRDH_DROME	Bromodomain-containing protein homolog (Protein Br140)
DESPA_DANRE	A0A8M2BID5	reviewed	DESPA_DANRE	Desmoplakin-A (Desmoplakin isoform X2)
DLG5_HUMAN	Q8TDM6	reviewed	DLG5_HUMAN	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)
RBG1L_HUMAN	Q5R372	reviewed	RBG1L_HUMAN	Rab GTPase-activating protein 1-like
LVA_DROME	Q8MSS1	reviewed	LVA_DROME	Protein lava lamp
ABCG2_HUMAN	Q9UNQ0	reviewed	ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)
PDUO_SALTY	Q8ZNR5	reviewed	PDUO_SALTY	Corrinoid adenosyltransferase PduO (EC 2.5.1.-) (ATP:co(I)rrinoid adenosyltransferase PduO) (ACA) (Propanediol utilization protein PduO)
SYN_DROME	Q24546	reviewed	SYN_DROME	Synapsin [Cleaved into: Synapsin-1 (Syn1) (Syn1-S); Synapsin-2 (Syn2)]
TET5A_MOUSE	D3Z5S8	reviewed	TET5A_MOUSE	Terminal nucleotidyltransferase 5A (EC 2.7.7.19)
RU17_HUMAN	P08621	reviewed	RU17_HUMAN	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)
GNAT7_ARATH	Q94AC8	reviewed	GNAT7_ARATH	GCN5-related N-acetyltransferase 7, chloroplastic (EC 2.3.1.255) (EC 2.3.1.48)
IGFN1_MOUSE	Q3KNY0	reviewed	IGFN1_MOUSE	Immunoglobulin-like and fibronectin type III domain-containing protein 1
NBEL2_MOUSE	Q6ZQA0	reviewed	NBEL2_MOUSE	Neurobeachin-like protein 2
CTLA4_HUMAN	P16410	reviewed	CTLA4_HUMAN	Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152)
ABCAD_MOUSE	Q5SSE9	reviewed	ABCAD_MOUSE	ATP-binding cassette sub-family A member 13 (EC 7.6.2.-)
DYHC2_RAT	Q9JJ79	reviewed	DYHC2_RAT	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain isotype 1B) (Dynein-like protein 4)
