protein,rank,GO,score
1_RIXI,1,GO:0005575,1.0
1_RIXI,2,GO:0110165,0.9998809496561686
1_RIXI,3,GO:0005622,0.5879713694254557
1_RIXI,4,GO:0043227,0.451382040977478
1_RIXI,5,GO:0071944,0.4513126611709595
1_RIXI,6,GO:0005737,0.43584926923116046
1_RIXI,7,GO:0043226,0.3745751778284709
1_RIXI,8,GO:0043231,0.3730136553446452
1_RIXI,9,GO:0005886,0.37231679757436115
1_RIXI,10,GO:0043229,0.3555951913197835
2_PGIP2_8IKW,1,GO:0005575,1.0
2_PGIP2_8IKW,2,GO:0110165,0.9999639987945557
2_PGIP2_8IKW,3,GO:0005622,0.5639767249425253
2_PGIP2_8IKW,4,GO:0071944,0.4733174244562785
2_PGIP2_8IKW,5,GO:0043227,0.42107407251993817
2_PGIP2_8IKW,6,GO:0005737,0.4031957785288493
2_PGIP2_8IKW,7,GO:0005886,0.39006996154785156
2_PGIP2_8IKW,8,GO:0016020,0.3620033661524455
2_PGIP2_8IKW,9,GO:0043226,0.34037327766418457
2_PGIP2_8IKW,10,GO:0043231,0.3375569184621175
3_OATP1B1_8HND,1,GO:0005575,1.0
3_OATP1B1_8HND,2,GO:0110165,1.0
3_OATP1B1_8HND,3,GO:0071944,0.6192652781804403
3_OATP1B1_8HND,4,GO:0005886,0.5142993927001953
3_OATP1B1_8HND,5,GO:0016020,0.42686084906260174
3_OATP1B1_8HND,6,GO:0005622,0.42659183343251544
3_OATP1B1_8HND,7,GO:0043227,0.22076932589213052
3_OATP1B1_8HND,8,GO:0005737,0.18600118160247803
3_OATP1B1_8HND,9,GO:0043231,0.12841874361038208
3_OATP1B1_8HND,10,GO:0043226,0.12595953543980917
4_FLS2_4MN8,1,GO:0005575,1.0
4_FLS2_4MN8,2,GO:0110165,1.0
4_FLS2_4MN8,3,GO:0071944,0.6374865770339966
4_FLS2_4MN8,4,GO:0005886,0.5300399462381998
4_FLS2_4MN8,5,GO:0016020,0.4359665314356486
4_FLS2_4MN8,6,GO:0005622,0.41308387120564777
4_FLS2_4MN8,7,GO:0043227,0.19696561495463052
4_FLS2_4MN8,8,GO:0005737,0.15963367621103922
4_FLS2_4MN8,9,GO:0043231,0.1065605878829956
4_FLS2_4MN8,10,GO:0043226,0.10385934511820476
5_scFv_P_3H3B,1,GO:0005575,1.0
5_scFv_P_3H3B,2,GO:0110165,0.9998029867808024
5_scFv_P_3H3B,3,GO:0005622,0.599267323811849
5_scFv_P_3H3B,4,GO:0043227,0.4654081662495931
5_scFv_P_3H3B,5,GO:0005737,0.4510793685913086
5_scFv_P_3H3B,6,GO:0071944,0.44121233622233075
5_scFv_P_3H3B,7,GO:0043226,0.39038034280141193
5_scFv_P_3H3B,8,GO:0043231,0.3896736303965251
5_scFv_P_3H3B,9,GO:0043229,0.37144017219543457
5_scFv_P_3H3B,10,GO:0005886,0.36438941955566406
6_scFv_L_8IQS,1,GO:0005575,1.0
6_scFv_L_8IQS,2,GO:0110165,0.9998207092285156
6_scFv_L_8IQS,3,GO:0005622,0.5970590114593506
6_scFv_L_8IQS,4,GO:0043227,0.4626835187276204
6_scFv_L_8IQS,5,GO:0005737,0.4481648604075114
6_scFv_L_8IQS,6,GO:0071944,0.4431126117706299
6_scFv_L_8IQS,7,GO:0043226,0.3873109022776286
6_scFv_L_8IQS,8,GO:0043231,0.38642581303914386
6_scFv_L_8IQS,9,GO:0043229,0.36833906173706055
6_scFv_L_8IQS,10,GO:0005886,0.36582640806833905
7_scFab_P_8JYR,1,GO:0005575,1.0
7_scFab_P_8JYR,2,GO:0110165,0.9999998410542806
7_scFab_P_8JYR,3,GO:0071944,0.5574382940928141
7_scFab_P_8JYR,4,GO:0005622,0.47957507769266766
7_scFab_P_8JYR,5,GO:0005886,0.4604631265004476
7_scFab_P_8JYR,6,GO:0016020,0.39635777473449707
7_scFab_P_8JYR,7,GO:0043227,0.3050696055094401
7_scFab_P_8JYR,8,GO:0005737,0.27866291999816895
7_scFab_P_8JYR,9,GO:0043226,0.2120670477549235
7_scFab_P_8JYR,10,GO:0043231,0.21164135138193765
8_scFab_L_3KDM,1,GO:0005575,1.0
8_scFab_L_3KDM,2,GO:0110165,0.9999999205271403
8_scFab_L_3KDM,3,GO:0071944,0.558550755182902
8_scFab_L_3KDM,4,GO:0005622,0.47852857907613117
8_scFab_L_3KDM,5,GO:0005886,0.4614279667536418
8_scFab_L_3KDM,6,GO:0016020,0.39687788486480713
8_scFab_L_3KDM,7,GO:0043227,0.3035622835159302
8_scFab_L_3KDM,8,GO:0005737,0.2769893407821655
8_scFab_L_3KDM,9,GO:0043226,0.21044387420018515
8_scFab_L_3KDM,10,GO:0043231,0.21008658409118652
